authorName
"Bowden, Jonny"
"Gebelein, Susan H."
The Chambersburg Community Development Committee
"Bader, Myles H."
"Williams, Bruce"
"Roberts, Sheila"
"Zimmerman, Howard"
"Deboer, Jesslyn"
Richard C Diedrich
"Haglund, Jill"
"Cecelia Holland, Alistair Horne"
"Marshall, Roger"
"Morgan, Richard K."
"Conley, Erin Elisabeth"
"Newhall, Arthur"
"Grevious, Saundrah Clark"
"Buck, Monica"
"O'Neil, William"
"Westlake, Donald E."
Price Waterhouse
"Duke, Patty"
"Kassow, Samuel D."
"Hopley, Jeremy"
"Jones, Naimo Jan"
"Bevarly, Elizabeth"
"Nierenberg, Andrea R."
"Eshel, Itzik"
"Papworth, David"
"Jassem, Kate"
"Goldman, Michael"
"Dellinger, Mary Ann"
"Freymann-Weyr, Garret"
"Bayles, Michael D."
"Berkin, Carol"
"Johnson, Roger T."
"Peay, Pythia"
"López, Jadwiga"
"Rust, Zad"
"Miller, Janet"
"Barnes, Charles"
"Bagdade, Susan"
"Davis, Michele Weiner"
"Price, Monroe E."
"Radlett, Marty"
"Christopher A. Bartlett, Sumantra Ghoshal"
"Works, James"
"Pinder, Jane"
Bateman
"Drobny, Sheldon"
"Ambuter, Carolyn"
"hasek, jaroslav"
"Brandt, Pamela Robin"
"Baldwin, Stanley C."
Robert Gover
"Talbert, David E."
Julie Schnittka
"Folwell, Elizabeth"
"Goodman, Paul"
"Lindsay, William"
Joachim G. Leithauser
"Denise, Christopher"
"Brown, David J."
"Chittum, Ida"
"O'conner, Martha"
"Lockhart, E."
"Dukach, Semyon"
"Herndon, Booton"
"Allen, Paul"
"Euripides, Vellacott"
"Bonanno, David"
"Long, Loren"
"Allen, Brooke"
Lotte Schmeil
Martin J. Heinecken
"Tenbruggencate, Jan"
Houghton Mifflin Co.
"Miller, Robin"
"Ensrud, Barbara"
"Hoog, Simone"
"Stoneridge, M. A."
"Paytress, Mark"
"Connors, Jill"
"McGovern, Robert J."
"McIlhenny, Paul"
Courage Books
"Jacobs, Henry E."
WEBSTER'S
"Jay, Jeff"
"Pattou, Edith"
"Hale, Elizabeth L."
FRANKLIN [ED.] DOHANYOS
Bradley Greive
"Douglass, Merrill E."
"Erlich, Reese W."
"Robbins, Mike"
"Stewart, Sean"
"Campbell, Drusilla"
"Fodor, Denis J."
"Di Fiore, Mariano"
"Apisdorf, Shimon"
"Gunn, David"
"Jeffries, John C."
"Trusty, Rebekah"
"Alvin, Julius"
"Edwards, Rob"
"Howat, Irene"
"Shaw, Russell"
"Rangel, Charles B."
Beth Sparkman
"Swain, Barbara"
"Sandler, Roni Cohen"
"Barrett, Pam"
Ka-Hon-Hes
"Yood, James"
"Galante, Cecilia"
Evelyn Lunemann
"Friend, Natasha"
"Gilgannon, Denise"
"Vanderlip, Sharon"
"Kolb, Carol"
"Fletcher, Rusty"
"Wheaton, Liz"
"Perlmutter, David"
"M.d., Nhat Hanh"
"Mccall, Penny"
"Loflin, Jones"
"Levine, Nancy"
"Vance, Mike"
Dierdre Luzwick
Judith rossner
"Gordon, Clay"
"Carr, Lauren"
"Selden, Bob"
"Dakin, Nick"
"Ogden, Samuel"
"Emley, Dianne"
"King, Janine"
"Sterling, Frances N."
"Siegel, Lawrence M."
Hellman's & Best Foods
"Shim, Jae K."
"Winks, Cathy"
"Munson, Shirely"
"Clay, Marie M."
"Sykes, Charles J."
"Tanaka, Ikko"
"Etheredge, Lorrie"
Quikrete Companies Staff
A.C. Bhaktivedanta Swami Prabhupada
Jane Andrews
"Haley, Amanda"
"Venezia, Mike"
"Cooper, Richard J."
"Toles, Tom"
"Morin, Donna Russo"
"Place, Maletta"
Home Decorating Institute Staff
"Mozier, Jeanne"
"Teberg, Pat"
Sidney Sheldon
"Dickinson, Richard H."
"Friedlander, Melvin A."
"Kent, Gordon"
"Marinelli, Anthony J."
"Ocvirk, Otto G"
"Cavanaugh, Christopher"
"Linton, Chris"
"Streiffert, Anna"
"Shepatin, Matthew"
Russell M. Griffin
"Keppler, Patricia"
"Colton, Katherine"
"Woolley, Valerie"
"Gourse, Leslie"
"Meindl, James D."
"Shelly, Jeff"
"True, Stephanie"
"Daniel, Lucy"
"Renfro, Ed"
"Van De Weyer, Robert"
"Rotella, Mark"
"Hindley, Joanne"
"Taylor-simeti, Mary"
"Fatus, Sophie"
"Hendler, Nelson H."
"Greer, Allen E."
"Anderson, Burton"
"Cerak, Colleen"
"Jowers, Walter"
"Phillips, Linda"
"Graham, Rochelle"
"Garbarino, Merwyn S."
"Scholes, Ken"
"Mcnab, Chris"
Lawrrence Shoonover
Fay And Mike James Goodman
"Lee, Jade"
"Norris, Kerstin"
"Bliss, Sands & Co."
"Price, Nick"
"Richardson, Edgar Preston"
"Coffin, Robert Peter Tristram"
John I. H Baur
"Schatzberg, Alan F."
"MIERS, Earl Schenck"
John Hersey
"George, Jim"
"Conant, Jennet"
"Burch, Sean"
"De Bruyn, Pippa"
"Hull, Alastair"
"Davis, Neil"
"Bradley, Ernestine"
"Cooper, Molly"
"Schell, Jim"
"Hockenbury, Don H."
U. s. Government Printing Office
The Harvard Independent
"Weir, Sarah B."
"Levenstein, Mary Kerney"
"Parisi, Grace"
"Sullivan, Elliot"
"Stevenson, Michael R."
"Kuanes, Martha"
"Kearney, Robert"
Children's National Medical Center
"Hotze, Sollace"
"Luksik, Peg"
"Vaughan, Agnes Carr"
"Dahl, Sophie"
Richard Adams
"Gelb, Norman"
"MacK, James A."
"Pilkington, C. M."
"Fenner, Carol"
"Chamberlain, Diane"
"Laurence, Margaret"
"Mcelhatton, Heather"
"Greenberg, Eric Rolfe"
"Lancaster, Clay"
"Evanick, Marcia"
"Spence, James"
"Leonard, Tina"
"Drlica, Karl"
"Burroughs, Stanley"
"Stormie Omartian, Jack Hayford"
"Leonowens, Anna Harriette"
"Anna Zaigraeva, Mary C. Nadalin"
"Allingham, Helen"
"Littmann, Barry"
"Pack, Phillip E."
"WILKES, JOHN"
"Adrian, Lara"
"Tarantino, Jim"
"Langer, Maria"
"Welk, Karen A."
"Craig, Claire"
Lee Strobel
"Budziszewski, J."
"Hamre, Bonnie"
"Wilson, Colin"
L. Cranmer-Byng
"James, Samantha"
"Simon, Carly"
"Maitland, Joanna"
"Stephenson, Richard M."
"Johnson-Cane, Deidre"
"Hergenroeder, Ernie"
Judith A. Stagnitto (Designed)
"Day, William"
"Phillips, Ellen Haygood"
SparkNotes
"Holliday, Keaf"
Mark Pierce
"Frenkel, Jacob A."
"Schoemaker, Paul J. H."
Institute of Medicine (U. S.)
"Fried, George H."
"Crawford, Steve"
"Heller, Richard"
Fletcher Knebel
"Decell, Florri"
"Lanka, L. Darlene"
"Reynolds, Sian"
"Dalai Lama XIV, Levin"
"Bougard, Marie-Therese"
"Davis, Park"
"Hargrove, Mic"
"Geniesse, Jane Fletcher"
Sarup
"Brinckloe, Julie"
"Herbert S. Zim, Ph.D."
"Hellerstein, David"
Ernest K. Bramsted
"Maria Kroll, Jason Lindsey"
"Marantz, Larissa"
"Harte, Amanda"
"Madsen, Chris"
"Chambers, David"
"Cachin, Francoise"
"Bell, Martin"
"Underdown, Harold D."
"Fuller, Floyd"
Bill Hall
"Roberts, Jerry"
Kenneth Roberts
"McQueen, James"
"Fifield, Kathleen"
"Wheat, Edm MD"
Editors of Bicycling Magazine
"Woo, Juliana"
"Wisner, Penny"
"Sholto Douglas, James"
"Shafer, Robert Jones"
"Klein, Alan M."
"Martin, J. Wallis"
"Lamb, John J."
"Boiselle, Gabrielle"
"Trevor Morris, Mark Barratt"
"March, Ivan"
"Tack, Karen"
"Ratner, Mark A."
"National Academy of Sciences, National Academy of Engineering"
Anne Ortlund
Lia Matera
"Steene, Roger"
"Delwiche, Lora D."
"Casson, Lionel (editor)"
"Ridgway, Christie"
"Hart, Lowell"
"Stockett, Kathryn"
"Gethers, Judy"
"Beris, Sandra"
"Riggs, Ransom"
Richard M. Pfeffer
"Leinhauser, Jean"
"Giblin, Sheri"
"Carlstrom, Nancy White"
"Ehrlich, Fred"
"Shapiro, Laurie Gwen"
"Put, Van Der Klaartje"
"Gordon, Debra"
"Ryrie, Charlie"
"Menzie, Morgan"
"Candappa, Rohan"
"Creighton, Lee"
"Mitchell, Siri"
"Jones, Katharine M."
"Smith, Dona"
"Thomson, Robert"
Schofield
Isidore Haiblum
"Fallon, Jennifer"
"Ross, Carol"
"Mavin, Jacqueline"
"Howaniec, Grace"
"Brenner, Richard J."
"Carter B., Brewster Keene P.M."
Fred Gross
Giancarlo
"Kinsel, Brenda Reiten"
"Elizabeth Pomada, Michael Larsen"
"Cone, Patrick"
"Thompson, Joan"
"Morris, Jennifer E."
"Krepps, Robert W"
"Trost, Cathy"
"Howell, Theresa"
"England, Eilhys"
"Holdstock, Pauline"
Alice Sebold
"Sharp, David"
"Whitley, Michael D."
"Jackson-Opoku, Sandra"
"Grossberg, George T."
"Salzmann, Cyndy"
"Oliver, Roland"
"Kinsolving, William"
"Doetsch, Richard"
Kate Wilhelm
"Hindy, Carl G."
"Archer, Melanie"
"Craft, Elizabeth"
"Tanner, Ira J."
"Lepore, Jill"
"Department of the Environment, Martin Holmes"
"Wharton, E"
"Kalins, Dorothy"
"Mason, John L."
"Harding, Jennie"
"Keady, Walter"
"Mills, Kevin"
"Gruen, Dietrich"
"Kerrigan, Michael"
Illustrated by Larry Lawson
"Bell, Cecil H."
"Henry, Terri"
"Stuart, Kelli"
"Hanks, Joanna D."
"Cutchins, Doug"
"Sanford, John"
"Henderson, Elizabeth"
"Clarke, Roy"
"Schwartz, Robert J"
"Mackay, Harold G."
"Hall, Stuart"
"Fiona Macdonald, Steve Parker"
"Siede, George"
"Yarborough, Richard"
People's Republic Of China
"Thakor, Manisha"
"Arena, Ronald J"
"Burkhalter-Lackey, Lori"
"Tomczyk, Mary"
"Whitten, Neal"
A. I. Busev
"Ousterhout, John K."
"Robinson, Tasha"
Kurt Mahr
"Simmons, Kelly"
"McNelley, Beth"
"Lazarus, Debbie"
"Macris, Gina"
"Spahr, Patricia M."
Steven Gaffney
"Waltz, Tom"
"Haines, Kathryn Miller"
"Greenhalgh, Chris"
"Lloyd, Julie"
"Nahum, Andrew"
"Kolberg, Sharyn"
"Joyner, Charles"
"Alekzander, Terri"
"Flem, Lydia"
"Archibald, Chestina Mitchell"
"Pinchot, Roy B."
"Clements, Carole (editor)"
"Stott, William"
"McDaniel, Jeff"
"Scicolone, Michele"
"Parkinson, T."
"Toft, Doug"
Donald S.
"McGrew, J. R."
"Loeb, Jeph"
"Pratt, Doug"
Great Source Education Group
"Gill Hale, Mark Evans"
"Uliano, Sophie"
"Luckless, John"
"Maxfield, David"
"Miller, Paula"
"Daugavietis, Ruta"
"Sussman, Susan"
43 Things
"Harp, David W."
"Frey, Stephen"
Diane Peacock Jezic
"Green, Garo"
"Novotni, Michele"
"Clift, Robert B."
Robert Allen
Delilah
"Baxter, Kathleen Mary"
Frank Norris
"Chase, F. J."
John F. Kennedy School of Government
"Otteson, Kerry"
"Tripp-Garrison, Paula"
"Hoffman, Beth"
Paul M. Angle
"Armintrout, Jennifer"
"Boyd, Patti"
"Thomas, Elizabeth H"
"Pfaffenberger, Clarence"
"Magloff, Lisa"
"Douglas, Ron"
"Brzezinski, Mika"
"Rutherford, Abigail"
Mickie Davidson
"Winters, Ben H."
FrancÌ§ois Souchal
"Kennedy, Dana Forrest"
"James, Kerrick"
"Regnery, Alfred S."
"O'Neil, Paul"
"Spilotro, Michael"
"Davis, Gary W."
Illustrated By May Todd Aaro
"Durbin, Kara"
"Razzi, James"
"MCLELLAND, Doug"
"Education, Physical"
"Hawkins, Karen"
"Jones, Patrick"
"Minthorn, David"
"Sung, Evan"
"Richman, Josh"
"Witt, Jon"
"Grablewski, Alexandra"
"Forman, Gayle"
"Mehta, Silva"
"Eliot, Lise"
"El-Erian, Mohamed A."
"Beckwith, Christine Clifford"
"Hirsch, Alan"
"Zeppa, Jamie"
"Marriott, Donna"
"By A Former Resident Governor, Major of Her Majesty's Tower"
Deforges
"Murphy, Alan"
Wendy Lyons
"Immel, Mary Blair"
"Yamaguchi, Kristi"
"Linn, Margo"
"Causey, Mike"
"Blum, Kenneth"
"Walrath, Douglas Alan"
"Jr., Raymond"
"Walberg, Mark"
"O'Neill, Michael Patrick"
"Parks, Karen J."
"Bunzel, John H."
John HIck
"Johnson, Don"
"Croston, Joan"
"Nicolson, Juliet"
Caroline Jayne Church
"Miner, Robert G."
"McLaughlin, Peter J."
Deborah Nourse Lattimore
"Pamela Conn Beall, Susan Hagen Nipp"
"Farley, Mike"
"Bailey, Sue"
"Foulke, Robert"
"Fortier, Anne"
Dee Phillips
"Domitrz, Michael"
Health Magazine
"Oz, Effy"
"Miller, Walter James"
"Wershoven, Carol"
"Preston, Sue"
"Everett, F."
"Kabashima, Seita"
Smart
"Theodorou, Rod"
Melissa Cosby
"McConnell, Ericka"
Annabelle Donati
"Kurey, Mary-Louise"
"Forster-Hahn, Françoise et al"
"Lipinski, Ed"
"Mejia, Camilo"
"Goodsell, Ann"
"Shipley, Joseph"
"Schlemm, Betty Lou"
"Weissbourd, Richard"
"Minene, Sakurano"
"Nunn, Malla"
"Gros, Jeffrey"
"Kuehls, Dave"
William Marvel
"Rose, Anne K"
"Lorraine Nicklas, Frederick County Agricultural Society"
"Renzulli, Diane"
"Bolinger, Don"
Gary Null PhD
"Baumohl, Bernard"
"Charnov, Bruce H."
"Wenz, Philip S."
"Roth, David E."
"Palmisciano, Diane"
"Cunningham, Patricia"
"Salem, J. J."
"De Vries, Betty"
"Snyder, William P."
"Malarkey, Kevin"
"Smiley, Scotty"
"Wooton, Rus"
Mariska
"Elmore, Jewels"
"Rosenberg, Liz"
"Woodard, Thomas"
"Bergin, Mark"
"Reuben, G."
"Nathanson, Laura"
"Durell, Doris E."
"Klaus, Ian"
"Fitzgerald, Annie"
"Hatchett, Marion J"
"Sawyer, Charles"
Handyman Club of America
"Finch, Carol"
"Gunnell, Kevin"
Geocaching. com
"Tran, Thy"
"Benway, Robin"
"Peppiatt, Francesca"
"Bennett, Scott"
"Henry A. Bamman, Robert J. Whitehead"
"Ford-Kohne, Nancy"
"Laurence, Daniel"
People's Medical Society (U. S.)
"Mueller, Mike"
"Spivey, Linda"
Carman
"Fraser, Margaret"
"Taussig, Betty Carney"
Shoebox Humer Writing Studio
"Donegan, Fran J."
"Caplin, Robert"
"Nicholl, Katie"
"Tetzlaff, Sandy"
"Manville, Ron"
"Cruz, Jose"
"Alinder, James R."
"Adamson, Vickie"
"Graver, Dennis K."
"Durham, David Anthony"
"Wisdom, Linda Randall"
"Thrall, William Flint"
"Drzymkowski, Jeanette Wist"
"Hartnett, Sonya"
"Steven M. Sheffrin, Arthur O'Sullivan"
"Molk, Laurel"
"Obaldia, Diane De"
"Lambert, Stephen"
"Wildwood, Christine"
"Mulford, Kelly"
"Luenebrink, Judy"
"Liebsch, Janet"
David Japp
"Neufeld, Naomi"
"Officer, Charles"
"Tardy, Christine M."
"Lore, Pittacus"
"Anderson, Moll"
"Scott, Kathleen"
"Marschall, Laurence A."
"Korn, Rachel"
"Strzelecki, Mike"
"Gennick, Jonathan"
Stephen Bertmen PhD
Smith-Southerwestern
"Ray, Rayburn W."
"Pincus, Chasya"
"McCarthy, Colin"
"Davies, Valerie"
Editor L W Press
"Byrd, Rhyannon"
"Bateman, Tracey"
"Salwen, Kevin"
"Carland, Maria Pinto"
"Anderson, Aaron"
"Bea, Holly"
"Bahr, Arthur W."
"Shaner, Timothy"
"Toomey, Jim P."
"Grotto, David W."
"Ginsberg, B."
"Lee, Yishane"
"Gianetti, Candice"
"Overton, Mary"
"Revland, Catherine"
Scot Overbey
"James Blish, J.A. Lawrence"
"Ciampoli, Linda"
"Tindall, William York"
"Dray, Susan"
"Lace, O. Jessie"
"Robinson, Laura"
"Obata, Takeshi"
"Macari, Michael"
"Lorant, Stefan"
"Farb, Roderick M"
"Herklots, H. G. G"
William Swinton
"Gaffney, Debra"
"CHASE-RIBOUD, Barbara"
"Flannery, David"
"Kutler, Laurence"
"Tobis, Michael"
Jeremy Black
"Raymondstotter, Maria"
"Strang, John"
"Mangels, Reed"
"Zweifel, Richard G."
"Beaumont, Michael"
"McKay, Ami"
"Urbanska, Wanda"
"King, Rachel"
"Hammond, Norman"
Rudolf Biller
"McDowell, Jack C."
"Scales, Robert H."
"Biro, Liz"
"David A. Murray, Ph.D."
"Cuellar, Fred"
"Michaels, Jonathan A."
"Raphael, Sally Jessy"
"Campbell, James P."
"McKee Elementary School (Oakdale, Pa.)"
"Cornacchia, Lorenzo"
"Codding, Judy B."
"Metcalfe, Edna"
Charles F. Kemp
Gary carey
"Nasr, Raja Tewfik"
"Haxell, Philip"
"Name, Mark L. Van"
Eve Morel
"Youngblood, Jack"
LIFE BOOKS
"Titchmarsh, Alan"
"Pinkney, John"
"Wright, Cynthia"
"Barber, Kimiko"
U Zelezne Lavky
"Hession, Roy"
"Baker, Madeline"
"Grimm, Eugene"
Lance Walheim
"Hanna, James Milton"
"Farrell, Edith R."
"Wintzen, Rene"
"Forberg, Ati"
"Koge Donbo, Yamashita"
"Sheely, Stephen M."
"Whiter, Barb"
"Diamond, Harriet"
Robert M. Santucci
Confident Cooking
"Garland, Jim"
"Washburn, Donna"
"Mathias, Beverly"
"Carney, Timothy P."
"Perry, Phyllis Jean"
"Wyeth, Andrew"
"Gough, Kay"
"Palley, Reese"
Duy Nguyen
compiler
"Levinson, Barry"
"Chamberlin, S."
"Barratt, David"
"Deacon, Jane"
"Powers, Margaret"
"Dziobek, Linda"
"Bogart, Jo Ellen"
"Trunk, Penelope"
"Piercy, Caroline B."
"MacKain, Bonnie"
"Reifsnyder, Marylou"
Glen Vecchione
"Fuller, Doris A."
"Maquire, Mary"
"Teitelbaum, Daniel"
"Mahan, Ben"
Bruschini Enrico
"Walker, Wilbert L"
"Kremmer, Christopher"
"Hausman, Kathy A."
"Odam, John"
"Baldwin, Dan"
"Flint, James"
"Taylor, Roger C."
Cook's Library
"Brandon, Rick"
"Leander, Birkit & Ake"
"Hattingh, Garth"
"Christie, Les"
"Katai, Steve"
"Lapuerta, Paloma E."
Author
"Cox, Adam J."
"Pincott, Jena"
Andy Martin
"Vaynerchuk, Gary"
"Rouse, W H D"
"Anderson, Molly"
"Shore, Bill"
"Shlaes, Amity"
"Hussain, Zahid"
"Allison, Catherine"
"Douglass, Sara"
"Digby, Ian"
Pushcart Prize Editors
"Easterbrook-Smith, Simon B."
"Street, Rita"
"Spinello, Richard A."
"Clymer, Floyd"
"Jr., Steele"
"Chase, Andrew"
"Lansky, Bernard"
"Maizel, Rebecca"
William Strunk
"Meyer, Eric"
"National Parks, Conservation Association"
"Heard, H. F."
"Tong, Rosemarie"
"Traill, Florence"
"Zenker, John J."
"Mistry, Manek"
"Singh, Khushwant"
"Klinger, Ron"
Primrose
"Furnas, J. C."
"Sternhagen, Mimi"
"Wrigley, Richard"
"Ponton, Lynn E."
Vince Lombardi
"Thigpen, Paul"
"Davis, Richard"
"Lever, Janet"
STECK-VAUGHN
colleen-sell
"Ewer, Cynthia Townley"
Ruben Gonzalez
"Kepler, Angela"
"Dobson, Andrew"
"Rovira, Francesc"
"Travokai, Rock"
"East, Cathy"
"Bloom, Susan"
"McNamara, Carole"
"Schanker, D. R."
